pathIndex,index,value
0,0,0
0,1,1
0,2,2
0,3,1
0,4,0
0,5,1
0,6,2
0,7,1
0,8,0
0,9,1
0,10,2
0,11,3
0,12,4
0,13,5
0,14,4
0,15,5
0,16,4
0,17,3
0,18,2
0,19,1
0,20,0
1,0,0
1,1,1
1,2,2
1,3,1
1,4,0
1,5,1
1,6,2
1,7,1
1,8,0
1,9,1
1,10,2
1,11,3
1,12,4
1,13,5
1,14,4
1,15,5
1,16,4
1,17,3
1,18,2
1,19,1
1,20,0
2,0,0
2,1,1
2,2,0
2,3,1
2,4,0
2,5,1
2,6,2
2,7,3
2,8,4
2,9,5
2,10,4
2,11,5
2,12,6
2,13,7
2,14,6
2,15,5
2,16,4
2,17,3
2,18,2
2,19,1
2,20,0
3,0,0
3,1,1
3,2,0
3,3,1
3,4,0
3,5,1
3,6,2
3,7,3
3,8,4
3,9,5
3,10,4
3,11,5
3,12,6
3,13,7
3,14,6
3,15,5
3,16,4
3,17,3
3,18,2
3,19,1
3,20,0
4,0,0
4,1,1
4,2,0
4,3,1
4,4,0
4,5,1
4,6,2
4,7,3
4,8,4
4,9,5
4,10,4
4,11,5
4,12,6
4,13,7
4,14,6
4,15,5
4,16,4
4,17,3
4,18,2
4,19,1
4,20,0
5,0,0
5,1,1
5,2,2
5,3,1
5,4,0
5,5,1
5,6,2
5,7,3
5,8,2
5,9,1
5,10,2
5,11,3
5,12,4
5,13,3
5,14,2
5,15,3
5,16,4
5,17,3
5,18,2
5,19,1
5,20,0
6,0,0
6,1,1
6,2,2
6,3,1
6,4,0
6,5,1
6,6,2
6,7,3
6,8,2
6,9,1
6,10,2
6,11,3
6,12,4
6,13,3
6,14,2
6,15,3
6,16,4
6,17,3
6,18,2
6,19,1
6,20,0
7,0,0
7,1,1
7,2,2
7,3,1
7,4,0
7,5,1
7,6,2
7,7,3
7,8,2
7,9,1
7,10,2
7,11,3
7,12,4
7,13,3
7,14,2
7,15,3
7,16,4
7,17,3
7,18,2
7,19,1
7,20,0
8,0,0
8,1,1
8,2,2
8,3,1
8,4,0
8,5,1
8,6,2
8,7,3
8,8,2
8,9,1
8,10,2
8,11,3
8,12,4
8,13,3
8,14,2
8,15,3
8,16,4
